id,name,price,shop,品牌,内存,CPU,销量
10107525100533,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 32G...,1794,HALIWEI旗舰店,其他,32GB,Intel i7,869
10107525100540,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16Ultra1060独显+蓝光 32GB运存+...,2476,HALIWEI旗舰店,其他,32GB,Intel i7,671
10038237747026,H&U&W国行2025新英特尔+酷睿i7笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 15代14英寸英特尔IPS护眼+9D蓝光全面屏 16G内...,1210,H&U&W旗舰店,其他,16GB,Intel i7,873
10107525100538,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 16G...,1248,HALIWEI旗舰店,其他,16GB,Intel i7,766
10121332255811,联想拯救者Y7000P R9000P游戏本4080笔记本电脑GTX4090 4060显卡 拯救者套餐3 i7 16G 128G+1T,2380,南风九五新电脑数码经营部,联想,16GB,Intel i7,1030
10115117113568,HAWEIAI Book1月新款2025英特尔酷睿i9/I7满血独显笔记本电脑轻薄本高端高性能金属游戏设计 英特尔14 Pro2.5K全面屏+抗蓝光+指纹 32G内存+2TB超速硬盘,3488,亿盛源电脑办公专营店,其他,17GB,Intel i7,972
10067855193017,KHXZ国行可选英特尔酷睿i7独显15.6英寸笔记本电脑轻薄本学生商务办公超薄便携高性能游戏本手提 AI终端英特尔15pro+窄边全面屏9D蓝光 12GB运行...,900,童昇一九科技电脑整机专营店,其他,18GB,Intel i7,516
10116233335291,补贴20%英特尔可选酷睿笔记本电脑轻薄网课设计学习商务办公 顶配N95-英特尔+15代+窄边全面屏 16G运行+128G硬盘14寸,749,甄选电脑数码经营部,其他,19GB,Intel N系列,532
10114101575527,联想小新16/小新Pro16GT AI元启 2025新品可选超轻薄笔记本电脑办公大学生设计本 锐龙R7 16G 512G小新16国家补贴 高性能,3599,联想笔记本授权专卖店,联想,20GB,Ryzen 7,1160
10148400075447,联想拯救者Y7000 2025补贴 旗舰电竞游戏笔记本电脑学生设计不到9000活动补贴 14核标压酷睿i7-13650HX 24G 512G 满血4060标配丨国家补贴20% 高色域丨高刷新率,6988,联想授权电脑专卖店,联想,21GB,Intel i7,1624
10110104512230,LGHO2025拯救系列新款笔记本电脑高性能轻薄本大学生者专用设计编程商务办公酷睿i9独显4060电竞游戏本 拯救系列/酷睿i9级/8核16线程 32G运行内存+1TB极...,3198,LGHO旗舰店,lg,22GB,Intel i9,1245
100098827375,联想拯救者Y7000 电竞游戏笔记本电脑酷睿i7-13650HX 24G 512G RTX4060 144Hz电竞屏 国家补贴20%,6999,京东自营,联想,23GB,Intel i7,2140
10136138740841,至高补贴30%48G超速AI智能轻薄笔记本,1988,HUAKIN笔记本旗舰店,其他,24GB,其他,595
100166877621,华为MateBook D 14 SE Linux版 国家补贴20% 笔记本电脑12代酷睿处理器i5 16G 512G皓月银,2999,京东自营,华为,25GB,Intel i5,901
10143599611216,极械革命2025新款笔记本电脑酷睿i9百万跑分性能怪兽编程高清护眼AI轻薄本黑悟空金属4060电竞游戏本 革命系列AI终端酷睿i9级+4K级高清护眼屏 32G...,1988,极械元启小新专卖店,联想,26GB,Intel i9,1223
10135183590093,天选者5pro官方补贴20%2025新款笔记本电脑酷睿i9独显4060高性能金属AI设计电竞游戏本轻薄本 酷睿I9级4G满血显存畅玩大型网游星空银 32G内存+1TB...,3199,天选者官方旗舰店,其他,27GB,Intel i9,591
100130599330,联想笔记本电脑小新Pro16超能本 高性能轻薄本锐龙7 8745H 24G 1T 2.5K高刷屏 游戏国家补贴20%,5099,京东自营,联想,28GB,AMD 锐龙,1090
100212784844,华硕天选6 Pro 锐龙版 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙9 8940HX 16G 1T RTX5070 2.5K)灰,9499,京东自营,华硕,29GB,AMD 锐龙,281
10120248933172,LGME拯救系列2025新款笔记本电脑酷睿i9/i7+RTX4060独显高性能金属AI编程设计轻薄本黑悟空电竞游戏本 拯救系列AI终端酷睿i9级+4K级高清护眼屏 32G超大内存+1TB极速固态,1978,LGME旗舰店,lg,30GB,Intel i7,639
10148410852371,UIG拯救系列国行2025新英特尔酷睿i964G笔记本电脑轻薄本学生办公高性能游戏本金榜设计AI手提本 拯救系列酷睿i9级/6G独显卡/畅玩黑悟空 3...,3188,UIG电脑旗舰店,其他,31GB,Intel i9,720
100140809674,方正鲲鹏系列国家补贴20%笔记本电脑15.6英寸12G高性能N95商务办公本15.6英寸512G大学生网课手提电脑,1468,京东自营,其他,32GB,Intel N系列,412
10107948296299,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book 粉色 8G运行+25...,1078,HUATWAI旗舰店,其他,33GB,Intel i7,434
10115117113584,I7满血独显笔记本电脑轻薄本高端高性能金属游戏设计 AI终端酷睿i7满血独显全能电竞游戏本 32G内存+2TB超速硬盘,5488,亿盛源电脑办公专营店,其他,34GB,Intel i7,1209
10119659685281,LAVRIKOW2025拯救系列新款笔记本电脑大学生者专用高性能轻薄本设计编程商务办公酷睿i9满血独显电竞游戏本 拯救系列/媲美酷睿i9级+独显/电竞款游戏本...,2899,LAVRIKOW旗舰店,其他,35GB,Intel i9,204
100171883204,ThinkPad国家补贴20%联想ThinkBook 14 2025英特尔酷睿5 220H 16G 1T 2.8K 120Hz高刷屏笔记本电脑,4699,京东自营,联想,36GB,Intel 其他,603
10093807827966,LENO国行2025新款英特尔i7级17.3英寸超薄笔记本电脑高性能指纹解锁设计商务办公学生轻薄本AI游戏 高配英特尔+16代+窄边17.3寸+护眼抗蓝光 32G运行 1...,1932,LENO电脑办公旗舰店,其他,37GB,Intel i7,848
10107864998738,LGME拯救系列2025新款笔记本电脑酷睿i9/i7+RTX4060独显高性能金属AI编程设计轻薄本黑悟空电竞游戏本 拯救系列酷睿i9级+独显+指纹解锁+英雄联盟 32G...,2815,LGME旗舰店,lg,38GB,Intel i7,722
10147667304998,联想拯救者Y7000P 2025补贴 游戏笔记本电脑r Y9000P同性能满血4060可选 14代酷睿i7-14650HX 16G(单根)1T 满血4060丨国家补贴20% 16英寸丨2.5K超清屏,8799,联想授权电脑专卖店,联想,39GB,Intel i7,1199
100165631515,华硕天选6 Pro 酷睿版 国家补贴20% 16英寸游戏本 笔记本电脑(i7-14650HX 16G 1T RTX5070 2.5K)青,9999,京东自营,华硕,40GB,Intel i7,870
10059629413716,联想Lenovo)二手笔记本电脑小新 Air/pro 13/14/15.6寸 轻薄商务制图办公本 9新顶配四核i7二代16G1TB固态独显12款 .,947,至上优品二手电脑专营店,联想,41GB,Intel i7,1872
10044527344294,女神粉英特尔轻薄笔记本电脑,1758,HUMI旗舰店,其他,42GB,其他,198
10038266364604,联想Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手笔记本电脑 95新I7-7700H 1050电竞游戏 R720 16G内存+512G固态,1489,新茂二手电脑专营店,联想,43GB,Intel i7,1423
10123772060711,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 16G...,1456,HALIWEI旗舰店,其他,44GB,Intel i7,999
100074955690,荣耀MagicBook X16 战斗版国家补贴12代酷睿标压i5 16+512G 16吋高清护眼屏 轻薄本笔记本电脑,2998,京东自营,荣耀,45GB,Intel i5,1138
100078929100,戴睿dere国家补贴商务旗舰高性能笔记本电脑自营办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔32G+1TB,1985,京东自营,其他,46GB,其他,172
10107959314600,联想拯救者Y9000P旗舰游戏笔记本电脑R9000P独显4060学生电竞I7高性能 Y7000 I7-11800H/RTX3050 16GB内存 | 512GB固态 店保两年 | 正品保障,3649,拯救者来酷生活拼购店,联想,47GB,Intel i7,1794
10132668192755,极械2025新款笔记本电脑酷睿i9+RTX4060光追独显AI编程设计大学生手提高性能轻薄本黑悟空电竞游戏本 轻薄便携AI终端酷睿i9级+4K级高清护眼屏 32G超大内存+1TB极速固态豪华大礼,1988,极械旗舰店,其他,48GB,Intel i9,508
10038237747021,H&U&W国行2025新英特尔+酷睿i7笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 15代14英寸英特尔IPS护眼+9D蓝光全面屏 8G内...,1030,H&U&W旗舰店,其他,49GB,Intel i7,733
100046501064,惠普HP国家补贴20%锐14 AMD锐龙 14英寸轻薄笔记本电脑(六核R5-7530U 8G 512G 指纹 一年上门),2799,京东自营,惠普,50GB,Ryzen 5,472
10115537626678,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book 粉色 16G大运...,1296,HUATWAI旗舰店,其他,51GB,Intel i7,422
10098579987795,联想Lenovo二手笔记本电脑轻薄便携13/14/15.6英寸商务办公i5娱乐网课学习游戏设计 2联想14寸双核4G120G固态办公上网 联想lenovo 9成新,418,鸿发国威二手电脑专营店,联想,52GB,Intel i5,247
10132453528796,华硕天选4/3/2游戏本笔记本电脑酷睿独显满血4060高性能轻薄学生设计 I7-10750H|1650Ti-4G|144hz 16GB内存+512GB固态可定制 正品样机|支持验机,2447,玩家国度官企特惠拼购店,华硕,53GB,Intel i7,669
100157264401,玩嘉国补20% 15代屏英特尔高能独显笔记本电脑轻薄本 可选游戏办公学生 银色16G+512GB,1499,京东自营,其他,54GB,其他,300
100199987214,华为MateBook D 16 Linux版 国家补贴20% 笔记本电脑 13代酷睿标压处理器 i5 16G 1T 深空灰,4299,京东自营,华为,55GB,Intel i5,1019
10053758851871,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 轻薄款14代英特尔IPS护眼屏 32GB运存+...,2038,HALIWEI旗舰店,其他,56GB,Intel i7,959
100120701667,方正笔记本电脑国家补贴20%新款轻薄本15.6英寸高清屏幕12G高性能N95大学生专用256G手提电脑办公本,1353,京东自营,其他,57GB,Intel N系列,470
10048492447611,联想(Lenovo)二手笔记本  i3 i5轻薄便携商务办公游戏超薄二手笔记本电脑 2双核T3000/4G/320G 送128G固态 现货速发 95成新,456,鼎胜二手电脑专营店,联想,58GB,Intel i3,647
100111300458,荣耀笔记本 X16 锐龙版国家补贴R5-7640HS高性能 16G 512G 护眼屏16吋轻薄长续航笔记本电脑,3199,京东自营,荣耀,59GB,Ryzen 5,782
10058716320285,华星硕国行2025款16代英特尔酷睿i7大屏笔记本电脑高性能轻薄本大学生上网课设计学习商务办公游戏AI AI终端英特尔16pro+窄边全面屏+9D蓝光 32G运行+1T超速硬盘,1988,驭先锋米梵专卖店,其他,60GB,Intel i7,499
